Область,Год,Кол-во,Округ
Калининградская_область,2018,542617,Северо-Западный_федеральный_округ
Калининградская_область,2019,556336,Северо-Западный_федеральный_округ
Калининградская_область,2020,515481,Северо-Западный_федеральный_округ
Ленинградская_область,2013,333456,Северо-Западный_федеральный_округ
Ленинградская_область,2014,342545,Северо-Западный_федеральный_округ
Ленинградская_область,2015,585363,Северо-Западный_федеральный_округ
Ленинградская_область,2016,602858,Северо-Западный_федеральный_округ
Ленинградская_область,2017,682257,Северо-Западный_федеральный_округ
Ленинградская_область,2018,984720,Северо-Западный_федеральный_округ
Ленинградская_область,2019,1062413,Северо-Западный_федеральный_округ
Ленинградская_область,2020,953320,Северо-Западный_федеральный_округ
Мурманская_область,2013,186722,Северо-Западный_федеральный_округ
Мурманская_область,2014,177896,Северо-Западный_федеральный_округ
Мурманская_область,2015,199619,Северо-Западный_федеральный_округ
Мурманская_область,2016,214088,Северо-Западный_федеральный_округ
Мурманская_область,2017,266049,Северо-Западный_федеральный_округ
Мурманская_область,2018,261983,Северо-Западный_федеральный_округ
Мурманская_область,2019,263791,Северо-Западный_федеральный_округ
Мурманская_область,2020,226461,Северо-Западный_федеральный_округ
Новгородская_область,2013,251800,Северо-Западный_федеральный_округ
Новгородская_область,2014,271156,Северо-Западный_федеральный_округ
Новгородская_область,2015,317676,Северо-Западный_федеральный_округ
Новгородская_область,2016,281325,Северо-Западный_федеральный_округ
Новгородская_область,2017,279157,Северо-Западный_федеральный_округ
Новгородская_область,2018,296426,Северо-Западный_федеральный_округ
Новгородская_область,2019,305769,Северо-Западный_федеральный_округ
Новгородская_область,2020,247082,Северо-Западный_федеральный_округ
Псковская_область,2013,247284,Северо-Западный_федеральный_округ
Псковская_область,2014,241853,Северо-Западный_федеральный_округ
Псковская_область,2015,342136,Северо-Западный_федеральный_округ
Псковская_область,2016,317753,Северо-Западный_федеральный_округ
Псковская_область,2017,346777,Северо-Западный_федеральный_округ
Псковская_область,2018,340843,Северо-Западный_федеральный_округ
Псковская_область,2019,387777,Северо-Западный_федеральный_округ
Псковская_область,2020,249348,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2013,1803787,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2014,1940062,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2015,2123762,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2016,2498059,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2017,3576994,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2018,3897736,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2019,3835825,Северо-Западный_федеральный_округ
Город_Санкт-Петербург_город_федерального_значения,2020,2777133,Северо-Западный_федеральный_округ
Республика_Алтай,2013,95073,Сибирский_федеральный_округ
Республика_Алтай,2014,84782,Сибирский_федеральный_округ
Республика_Алтай,2015,179084,Сибирский_федеральный_округ
Республика_Алтай,2016,205684,Сибирский_федеральный_округ
Республика_Алтай,2017,161996,Сибирский_федеральный_округ
Республика_Алтай,2018,196375,Сибирский_федеральный_округ
Республика_Алтай,2019,222695,Сибирский_федеральный_округ
Республика_Алтай,2020,148843,Сибирский_федеральный_округ
Республика_Тыва,2013,56894,Сибирский_федеральный_округ
Республика_Тыва,2014,42334,Сибирский_федеральный_округ
Республика_Тыва,2015,34357,Сибирский_федеральный_округ
Республика_Тыва,2016,30764,Сибирский_федеральный_округ
Республика_Тыва,2017,34919,Сибирский_федеральный_округ
Республика_Тыва,2018,35847,Сибирский_федеральный_округ
Республика_Тыва,2019,39461,Сибирский_федеральный_округ
Республика_Тыва,2020,34138,Сибирский_федеральный_округ
Республика_Хакасия,2013,80769,Сибирский_федеральный_округ
Республика_Хакасия,2014,106046,Сибирский_федеральный_округ
Республика_Хакасия,2015,153783,Сибирский_федеральный_округ
Республика_Хакасия,2016,97117,Сибирский_федеральный_округ
Республика_Хакасия,2017,110909,Сибирский_федеральный_округ
Республика_Хакасия,2018,164336,Сибирский_федеральный_округ
Республика_Хакасия,2019,184141,Сибирский_федеральный_округ
Республика_Хакасия,2020,107791,Сибирский_федеральный_округ
Алтайский_край,2013,487829,Сибирский_федеральный_округ
Алтайский_край,2014,468961,Сибирский_федеральный_округ
Алтайский_край,2015,632491,Сибирский_федеральный_округ
Алтайский_край,2016,590815,Сибирский_федеральный_округ
Алтайский_край,2017,674794,Сибирский_федеральный_округ
Алтайский_край,2018,668879,Сибирский_федеральный_округ
Алтайский_край,2019,702795,Сибирский_федеральный_округ
Алтайский_край,2020,488886,Сибирский_федеральный_округ
Красноярский_край,2013,505379,Сибирский_федеральный_округ
Красноярский_край,2014,480086,Сибирский_федеральный_округ
Красноярский_край,2015,586100,Сибирский_федеральный_округ
Красноярский_край,2016,646121,Сибирский_федеральный_округ
Красноярский_край,2017,611077,Сибирский_федеральный_округ
Красноярский_край,2018,730691,Сибирский_федеральный_округ
Красноярский_край,2019,808051,Сибирский_федеральный_округ
Красноярский_край,2020,527792,Сибирский_федеральный_округ
Иркутская_область,2013,543399,Сибирский_федеральный_округ
Иркутская_область,2014,514209,Сибирский_федеральный_округ
