,Область,Округ,Год,Кол-во
312,        Иркутская область,Сибирский федеральный округ,01.10.2016,260733
313,        Кемеровская область - Кузбасс,Сибирский федеральный округ,01.10.2016,99141
314,        Новосибирская область,Сибирский федеральный округ,01.10.2016,132370
315,        Омская область,Сибирский федеральный округ,01.10.2016,98587
316,        Томская область,Сибирский федеральный округ,01.10.2016,25572
317,        Республика Бурятия,Дальневосточный федеральный округ,01.10.2016,39387
318,        Забайкальский край,Дальневосточный федеральный округ,01.10.2016,25388
319,        Республика Саха (Якутия),Дальневосточный федеральный округ,01.10.2016,45378
320,        Камчатский край,Дальневосточный федеральный округ,01.10.2016,38952
321,        Приморский край,Дальневосточный федеральный округ,01.10.2016,221859
322,        Хабаровский край,Дальневосточный федеральный округ,01.10.2016,99437
323,        Амурская область,Дальневосточный федеральный округ,01.10.2016,27891
324,        Магаданская область,Дальневосточный федеральный округ,01.10.2016,18239
325,        Сахалинская область,Дальневосточный федеральный округ,01.10.2016,65744
326,        Еврейская автономная область,Дальневосточный федеральный округ,01.10.2016,5831
327,        Чукотский автономный округ,Дальневосточный федеральный округ,01.10.2016,2420
328,        Белгородская область,Центральный федеральный округ,01.01.2017,33047.0
329,        Брянская область,Центральный федеральный округ,01.01.2017,35597.0
330,        Владимирская область,Центральный федеральный округ,01.01.2017,120853.0
331,        Воронежская область,Центральный федеральный округ,01.01.2017,88905.0
332,        Ивановская область,Центральный федеральный округ,01.01.2017,50840.0
333,        Калужская область,Центральный федеральный округ,01.01.2017,85064.0
334,        Костромская область,Центральный федеральный округ,01.01.2017,52365.0
335,        Курская область,Центральный федеральный округ,01.01.2017,46160.0
336,        Липецкая область,Центральный федеральный округ,01.01.2017,19099.0
337,        Московская область,Центральный федеральный округ,01.01.2017,730432.0
338,        Орловская область,Центральный федеральный округ,01.01.2017,24370.0
339,        Рязанская область,Центральный федеральный округ,01.01.2017,59804.0
340,        Смоленская область,Центральный федеральный округ,01.01.2017,19435.0
341,        Тамбовская область,Центральный федеральный округ,01.01.2017,15728.0
342,        Тверская область,Центральный федеральный округ,01.01.2017,75856.0
343,        Тульская область,Центральный федеральный округ,01.01.2017,59594.0
344,        Ярославская область,Центральный федеральный округ,01.01.2017,152930.0
345,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,01.01.2017,954361.0
346,        Республика Карелия,Северо-Западный федеральный округ,01.01.2017,93955.0
347,        Республика Коми,Северо-Западный федеральный округ,01.01.2017,40708.0
348,        Архангельская область,Северо-Западный федеральный округ,01.01.2017,50681.0
349,        Вологодская область,Северо-Западный федеральный округ,01.01.2017,123125.0
350,        Калининградская область,Северо-Западный федеральный округ,01.01.2017,71970.0
